business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,isOpen,is_delayed,delay_days
U001,200769623,WAL-MAR corp,2020-11-02,2020,1930438491,2020-01-26,20200125,,USD,RV,1,54273.28,20200126,NAH4,0,0,999.0
U001,200980828,BEN E ,2019-08-08,2019,1929646410,2019-07-22,20190722,,USD,RV,1,79656.6,20190722,NAD1,0,0,999.0
U001,200792734,MDV/ trust,,2019,1929873765,2019-09-14,20190914,,USD,RV,1,2253.86,20190914,NAA8,0,0,999.0
CA02,140105686,SYSC llc,,2020,2960623488,2020-03-30,20200330,,CAD,RV,1,3299.7,20200331,CA10,1,0,999.0
U001,200769623,WAL-MAR foundation,,2019,1930147974,2019-11-13,20191113,,USD,RV,1,33133.29,20191113,NAH4,0,0,999.0
CA02,140106181,THE  corporation,2019-04-12,2019,2960581231,2019-09-20,20190920,,CAD,RV,1,22225.84,20190924,CA10,0,0,999.0
U001,200769623,WAL-MAR in,2019-12-11,2019,1930083373,2019-11-01,20191031,,USD,RV,1,7358.49,20191101,NAH4,0,0,999.0
U001,200744019,TARG us,,2020,1930659387,2020-03-19,20200318,,USD,RV,1,11173.02,20200319,NAA8,1,0,999.0
U001,200769623,WAL-MAR corp,,2019,1929439637,2019-06-07,20190605,,USD,RV,1,15995.04,20190607,NAH4,0,0,999.0
U001,200762301,C&S WH systems,2019-06-03,2019,1928819386,2019-02-20,20190219,,USD,RV,1,28.63,20190220,NAC6,0,0,999.0
U001,200418007,AM ,,2020,1930610806,2020-03-11,20200306,,USD,RV,1,3525.59,20200311,NAA8,1,0,999.0
U001,200743129,BROOKS co,,2019,1928550622,2019-01-02,20190102,,USD,RV,1,103147.37,20190102,NAA8,0,0,999.0
U001,200186937,SYSC corporation,2019-06-05,2019,1929151655,2019-04-15,20190415,,USD,RV,1,16381.45,20190415,NAA8,0,0,999.0
U001,200721222,GO corporation,2019-01-11,2019,1930022117,2019-10-17,20191017,,USD,RV,1,19581.57,20191017,NAA8,0,0,999.0
U001,200739534,OK systems,,2020,1930788296,2020-04-15,20200415,,USD,RV,1,121105.65,20200415,NAA8,1,0,999.0
U001,200353024,DECA corporation,,2020,1930817482,2020-04-23,20200423,,USD,RV,1,3726.06,20200416,NAM2,1,0,999.0
U001,200794332,COST in,2019-12-11,2019,1930052739,2019-10-25,20191025,,USD,RV,1,5181.51,20191025,NAAX,0,0,999.0
U001,200881076,ALBERT corp,,2019,1930209407,2019-12-02,20191202,,USD,RV,1,19082.14,20191202,NAA8,0,0,999.0
U001,200769623,WAL-MAR trust,,2019,1930153511,2019-11-15,20191114,,USD,RV,1,12819.5,20191115,NAH4,0,0,999.0
U001,200769623,WAL-MAR systems,2020-05-02,2020,1930438462,2020-01-24,20200124,,USD,RV,1,53349.54,20200124,NAH4,0,0,999.0
U013,100053554,SYSTEMS systems,2020-11-02,2020,1991837617,2020-01-11,20200107,,USD,RV,1,5683.5,20200111,NAVE,0,0,999.0
U001,200783734,FAREW us,2019-04-09,2019,1929773400,2019-08-21,20190822,,USD,RV,1,11845.19,20190821,NAA8,0,0,999.0
U001,200744019,TARG associates,,2020,1930676042,2020-03-21,20200320,,USD,RV,1,5893.01,20200321,NAA8,1,0,999.0
U001,100006311,QUALITY C ,,2019,1929626925,2019-07-17,20190717,,USD,RV,1,20079.58,20190717,NAA8,0,0,999.0
U001,200769623,WAL-MAR co,2020-04-02,2020,1930431304,2020-01-24,20200123,,USD,RV,1,11307.78,20200124,NAH4,0,0,999.0
CA02,140106408,WAL-M corp,,2020,2960618790,2020-03-06,20200306,,CAD,RV,1,92832.27,20200306,CA10,1,0,999.0
U001,200769623,WAL-MAR foundation,,2019,1928620435,2019-01-14,20190114,,USD,RV,1,36188.11,20190114,NAH4,0,0,999.0
U001,200337148,COAS llc,,2020,1930592246,2020-03-02,20200302,,USD,RV,1,11380.83,20200302,NAA8,1,0,999.0
U001,200769623,WAL-MAR foundation,2019-09-05,2019,1929194820,2019-04-23,20190423,,USD,RV,1,412.09,20190423,NAH4,0,0,999.0
CA02,140106408,WAL-M associates,2019-06-05,2019,2960542344,2019-04-16,20190416,,CAD,RV,1,48413.28,20190416,CA10,0,0,999.0
