business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,area_business,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen
U001,200769623,WAL-MAR corp,11-02-2020 00:00,2020,1930438491,26-01-2020,20200125,20200126,20200210,USD,RV,1,,54273.28,20200126,NAH4,1930438491,0
U001,200980828,BEN E ,08-08-2019 00:00,2019,1929646410,22-07-2019,20190722,20190722,20190811,USD,RV,1,,79656.6,20190722,NAD1,1929646410,0
U001,200792734,MDV/ trust,30-12-2019 00:00,2019,1929873765,14-09-2019,20190914,20190914,20190929,USD,RV,1,,2253.86,20190914,NAA8,1929873765,0
CA02,140105686,SYSC llc,,2020,2960623488,30-03-2020,20200330,20200330,20200410,CAD,RV,1,,3299.7,20200331,CA10,2960623488,1
U001,200769623,WAL-MAR foundation,25-11-2019 00:00,2019,1930147974,13-11-2019,20191113,20191113,20191128,USD,RV,1,,33133.29,20191113,NAH4,1930147974,0
CA02,140106181,THE  corporation,04-12-2019 00:00,2019,2960581231,20-09-2019,20190920,20190920,20191004,CAD,RV,1,,22225.84,20190924,CA10,2960581231,0
U001,200769623,WAL-MAR in,12-11-2019 00:00,2019,1930083373,01-11-2019,20191031,20191101,20191116,USD,RV,1,,7358.49,20191101,NAH4,1930083373,0
U001,200744019,TARG us,,2020,1930659387,19-03-2020,20200318,20200319,20200403,USD,RV,1,,11173.02,20200319,NAA8,1930659387,1
U001,200769623,WAL-MAR corp,18-06-2019 00:00,2019,1929439637,07-06-2019,20190605,20190607,20190622,USD,RV,1,,15995.04,20190607,NAH4,1929439637,0
U001,200762301,C&S WH systems,06-03-2019 00:00,2019,1928819386,20-02-2019,20190219,20190220,20190307,USD,RV,1,,28.63,20190220,NAC6,1928819386,0
U001,200418007,AM ,,2020,1930610806,11-03-2020,20200306,20200311,20200326,USD,RV,1,,3525.59,20200311,NAA8,1930610806,1
U001,200743129,BROOKS co,22-01-2019 00:00,2019,1928550622,02-01-2019,20190102,20190102,20190117,USD,RV,1,,103147.37,20190102,NAA8,1928550622,0
U001,200186937,SYSC corporation,06-05-2019 00:00,2019,1929151655,15-04-2019,20190415,20190415,20190430,USD,RV,1,,16381.45,20190415,NAA8,1929151655,0
U001,200721222,GO corporation,01-11-2019 00:00,2019,1930022117,17-10-2019,20191017,20191017,20191101,USD,RV,1,,19581.57,20191017,NAA8,1930022117,0
U001,200739534,OK systems,,2020,1930788296,15-04-2020,20200415,20200415,20200430,USD,RV,1,,121105.65,20200415,NAA8,1930788296,1
U001,200353024,DECA corporation,,2020,1930817482,23-04-2020,20200423,20200423,20200426,USD,RV,1,,3726.06,20200416,NAM2,1930817482,1
